cases_new,cases_import,cases_recovered,cases_active
8743.0,14,14422,119799
7373.0,2,10959,116130
6709.0,6,10833,111925
7276.0,10,10555,108550
7950.0,29,10832,105588
8084.0,21,12456,101151
7420.0,17,10145,98350
7509.0,16,9531,96256
6145.0,12,9231,93098
5434.0,5,8435,90028
5745.0,12,8933,86756
5516.0,14,9401,82807
6210.0,42,7562,81395
6630.0,15,7630,80324
5828.0,7,9178,76911
5666.0,20,6978,75541
4782.0,15,7414,72839
0.0,15,5607,72903
6148.0,21,7595,71390
6377.0,32,6637,71075
6060.0,13,7297,69779
5854.0,13,6715,68860
4979.0,23,6127,67675
4626.0,6,5299,66945
5071.0,15,5372,66596
5291.0,7,4947,66885
5713.0,32,5865,66682
4922.0,10,5579,65967
4701.0,28,5382,65244
4343.0,9,5190,64338
4543.0,15,7348,61480
5403.0,25,5311,61520
6243.0,24,5068,62655
6323.0,25,5337,63592
6517.0,16,6026,64035
5809.0,27,4712,65088
5162.0,11,5019,65193
5143.0,13,4551,65741
5413.0,17,6013,65095
6288.0,22,4743,66579
6380.0,28,5760,67164
6355.0,31,5031,68443
5859.0,19,4970,69294
4854.0,12,5525,68577
4885.0,18,5628,67793
5594.0,24,4908,68430
5755.0,23,5082,69060
6144.0,12,6602,68552
5501.0,25,6664,67346
5097.0,17,5352,67045
4239.0,12,5007,66239
4087.0,21,4984,65301
4879.0,24,5168,64978
5439.0,21,6803,63583
5806.0,11,7246,62099
5551.0,23,5301,62303
4896.0,18,4676,62481
4298.0,23,4928,61813
4262.0,15,5894,60139
4965.0,29,4817,60251
5020.0,17,4525,60709
5446.0,20,5427,60700
5058.0,17,4997,60731
4626.0,20,4690,60642
3490.0,14,5399,58704
3504.0,24,4401,57776
4097.0,18,4301,57539
3900.0,19,4552,56859
4262.0,36,4985,56109
4362.0,28,5098,55329
4083.0,34,5435,53940
3108.0,37,3701,53313
2589.0,46,3810,52051
3140.0,58,4277,50885
3519.0,100,5118,49267
3510.0,95,4997,47750
3528.0,103,4489,46763
3160.0,156,4420,45480
2778.0,129,3539,44702
2757.0,147,4620,42811
2897.0,192,3434,42243
3683.0,239,4322,41576
3997.0,366,3984,41562
3573.0,343,3988,41130
3386.0,346,3547,40943
2882.0,333,3291,40516
2690.0,300,3535,39651
2842.0,332,2862,39615
3270.0,252,3195,39664
3543.0,364,3484,39707
3381.0,319,3447,39628
3251.0,299,3161,39700
2888.0,323,2714,39857
2641.0,338,2808,39678
3175.0,272,2977,39867
3198.0,303,3200,39846
3684.0,321,3292,40217
3346.0,267,3052,40500
3074.0,319,2828,40730
3010.0,263,2584,41142
2342.0,180,2907,40564
3245.0,274,3093,40704
3229.0,239,2848,41074
3764.0,522,3254,41568
4046.0,489,2804,42800
4116.0,498,2858,44050
3856.0,492,2814,45078
3214.0,406,3116,45164
4066.0,442,3559,45666
4744.0,429,3646,46752
5439.0,332,4409,47771
5522.0,373,3285,49995
5139.0,226,3767,51358
4915.0,188,3056,53209
4774.0,152,3232,54743
5566.0,227,3187,57110
5736.0,183,3196,59638
0.0,130,3968,61383
7234.0,234,5254,63350
9117.0,134,6546,65910
10089.0,143,6460,69520
11034.0,77,6036,74503
13944.0,153,5421,83006
17134.0,130,5681,94444
19090.0,134,5712,107798
20939.0,121,5807,122903
22802.0,94,5442,140234
21072.0,65,5724,155546
21315.0,81,8517,168307
22133.0,80,7584,182823
27831.0,118,7912,202699
26701.0,132,11744,217613
27808.0,119,12488,232878
28825.0,91,18514,243144
26832.0,68,18459,251469
25099.0,85,17749,258776
27179.0,120,19037,266862
31199.0,119,20399,277606
32070.0,209,23332,286285
30644.0,257,22678,294201
27299.0,256,22710,298726
24466.0,246,22380,300748
23100.0,298,30624,293162
25854.0,448,25548,293390
27500.0,428,27557,293256
32467.0,413,27629,298015
33209.0,441,26352,304797
33406.0,342,27143,310982
27435.0,254,30335,308007
26856.0,211,30726,304061
31490.0,473,29035,306441
30246.0,418,26653,309949
30787.0,608,26457,314211
32800.0,541,24444,322507
26250.0,545,25089,323618
22535.0,361,25356,320785
22030.0,394,33872,308943
